Age,Gender,Height,Weight,Activity_Level,Daily_Steps,Exercise_Hours,Sleep_Hours,Stress_Level,Calorie_Intake,Protein_Intake,Water_Intake,Family_History,BMI,BMI_Category
56,1,1.78,65.76855345602496,1,3707,1.0580331719110405,5.672154481462608,3,1876.343455858355,52.95788421097572,2.8797920305101754,0,20.75765479611948,0
38,1,1.74,46.30079633013303,1,8041,0.2603265670917277,5.637963886718183,3,1576.3088895994126,62.13696903579982,2.4757434710406807,0,15.292904059364854,3
54,2,1.62,103.6915690703881,3,6237,1.8762873482940212,8.168788951772507,8,1669.67067309505,72.33817368154783,1.6454094450202845,0,39.510581112021065,1
23,0,1.5,77.95291853803685,0,6546,2.158695686873108,6.826527576417639,2,1909.6688913232133,95.1111950115457,3.249689630912158,1,34.64574157246082,1
62,1,1.57,67.3001189190425,3,1310,0.3161241725799303,8.395876601156653,5,2203.3302229020023,63.17380518489025,2.917931252325353,1,27.303387122821412,2
26,0,1.66,63.45498339500838,1,8375,3.5257994436072906,4.0,3,2320.8442658590793,65.4209340826262,3.5766255965261786,1,23.027646753886042,0
56,2,1.31,87.32853756562835,3,2453,2.3850987581297414,6.670492168243732,4,2107.133771453524,62.0363074421473,2.925662763400673,0,50.8877906681594,1
45,0,1.48,88.38944207259243,3,2293,0.9718373141289277,6.483879188033022,7,2225.2357656768263,55.360671803331336,2.9711878519417825,0,40.35310540202357,1
44,0,1.57,67.40035170552714,1,10862,1.0335108540690394,6.000909069654357,8,1845.8637525475262,45.854147872991064,3.4827711170615054,1,27.344051160504335,2
69,0,1.86,90.07480321053949,3,5839,1.5069342899197475,8.855524109404692,2,1572.0563345823343,22.518612875419336,3.5362299928205143,0,26.03619008282445,2
21,2,1.58,86.59711283833873,2,9506,0.30303855358538045,5.679038772205346,1,2023.0684845753715,60.42149195022303,1.662039055663188,0,34.688797003019836,1
20,2,1.81,60.7279237402794,2,4199,0.9393352385437086,7.642019261484141,8,1259.090340479721,54.17603401535079,1.880141338319806,0,18.536651427086902,0
40,2,1.65,83.34182697800948,1,6568,2.7914567083653545,6.51326356325666,5,1938.2399848713485,63.89824191372635,3.047276010244117,0,30.612241314236726,1
52,2,1.78,79.45477009849779,2,7544,2.6483605315288967,7.439608709948022,2,1785.6945745920896,62.62249517987207,1.6482015753485326,0,25.077253534433083,2
33,1,1.81,60.682541070578694,3,8896,0.5710734765051508,7.636729366084676,1,2282.160675488603,69.51360444396434,4.642766650064782,0,18.52279877616028,0
39,0,1.75,75.88921926079794,1,5647,2.145647729021427,9.046650170980477,1,2351.60867114132,69.3850102164751,1.8999897105086023,0,24.780153228015656,0
52,1,1.43,71.35298309389476,2,7515,0.14409212728948978,5.575721432231712,1,1820.930800531174,46.10930071182783,2.1409242776550648,0,34.89314054178433,1
48,0,1.79,101.44406208454842,3,6145,0.4086053695314374,8.30867073649068,6,2319.8595632293213,39.33495948064363,1.843522472059414,1,31.66070412426217,1
52,0,1.78,130.0,2,9327,2.3069416231570616,6.527096133039482,2,2227.6907661479804,62.47534197164008,1.9008497575194423,0,41.03017295795985,1
42,0,1.43,80.3595681290495,1,4820,2.453368789219807,9.340570211699319,5,2038.5653000213244,78.15597949704959,2.3941348241554397,0,39.29755397772484,1
47,2,1.59,81.33470642496097,3,5732,0.7801273393913257,5.713676671508349,10,2252.0016129867286,48.42271383364867,3.662911211425708,0,32.17226629680826,1
18,2,1.75,50.81659039238215,2,2847,2.2082403506774915,7.565944398190614,6,2495.405295943847,42.24640248083193,2.6602793025613063,0,16.593172373022743,3
46,0,1.8,83.99844950566509,1,11282,0.771734331608152,7.002720416792014,8,2226.7805845374955,45.27737023428074,2.8234724319842894,0,25.925447378291693,2
19,1,1.75,88.8934881432755,2,7872,3.6838324681679553,7.7218265926421905,3,2140.1171518186666,67.52140135539122,3.2424470051749874,0,29.02644510800833,2
46,1,1.62,55.98926547731497,3,2140,2.4950506516064954,9.332384014954902,2,1705.6398994287351,59.573678136013996,1.29850288783922,0,21.334120361726477,0
67,1,1.77,73.8190247449829,1,10195,0.1602993617321943,6.077132176345764,1,2114.839840145236,49.961959077281804,3.3133561224227424,1,23.562521863124548,0
54,1,1.87,87.867969881827,3,7582,0.08519406499988254,4.682501577104504,3,1747.1794710539234,64.86249528732664,2.4088998619426207,1,25.1273899401833,2
36,0,1.58,106.3858091352819,3,9012,0.384968699831114,7.936179725578233,5,2188.503652779284,49.51280132862124,2.4938280676279345,0,42.615690248069974,1
22,2,1.65,87.05719577064387,3,7032,0.7277833164395312,6.35004488964616,2,2061.1468182582403,36.27519111578182,2.5553063099708395,0,31.976931412541372,1
62,1,1.65,81.87661944842968,0,1641,2.424597945733553,4.0,7,1894.538960413865,72.86489434803029,2.388043029025601,0,30.07405673036903,1
20,1,1.7,70.67012041619793,3,9177,2.0111453266259227,6.8368597773147135,1,2120.5135166296823,60.86119421634556,1.9091245873138774,0,24.45332886373631,0
61,1,1.71,89.75256459537698,0,6244,0.5982516032589689,10.0,1,2121.8680055149784,78.00617322620097,3.7712614531706707,1,30.694081801366913,1
28,0,2.03,62.87552571967273,3,5605,0.32058151197154644,5.861301007669454,9,2045.1181359428622,55.14940801495197,1.3379178056105667,0,15.257716935541447,3
26,1,1.96,52.610979533764606,3,5693,1.8568038025380253,7.213075137876352,5,2311.1475394833874,58.8958332631214,2.302445167708952,1,13.69506964123402,3
49,2,1.74,58.53981197150013,1,5713,2.6808744288687714,6.837057003866716,6,1983.354512510698,65.13685377011272,3.8380707245565997,1,19.335385114116836,0
20,1,1.94,84.01580916317305,2,2623,0.6803523675738955,5.72721895091813,4,1719.1264915166132,70.67422317133335,1.7127505357134916,0,22.32325676564275,0
45,2,1.75,63.7727019516517,1,6287,3.2050003516259093,10.0,9,2526.6022527329615,51.551120828094554,4.277480453847625,0,20.823739412784228,0
54,1,1.87,82.87817569036422,0,6507,1.2120412022431966,8.235028774418447,3,2615.735822523647,55.95889748333163,3.0022795790571735,0,23.700470614076526,0
41,2,1.94,54.29847812677663,2,5963,2.0445136110660935,7.576098173408961,5,1990.191575571772,42.77917640766388,2.0784206579824764,0,14.427271263358655,3
28,2,1.37,105.48213788938828,1,10029,0.5754214092116666,5.871329949509697,3,2502.124447817415,67.01669319311564,2.5105450671052965,0,56.20019068111688,1
68,2,1.62,90.67969189511416,1,6127,0.7784542916505478,8.179050933568124,1,1913.8579707729843,89.47087699374583,2.52468448638021,0,34.55254225541615,1
64,1,1.72,104.60191337403836,3,6445,1.1991675087675924,6.947204592306274,7,2016.9676848767504,86.71094157217834,2.6767358518405096,0,35.35759646228988,1
68,2,1.83,82.06555247127031,2,3075,0.21791094862971538,5.84337018924334,7,2172.8523798413303,44.08106050580115,2.041938657720889,0,24.505226334399445,0
61,1,1.73,88.65846183556621,1,5980,3.080235922785258,10.0,8,2304.3598078061896,82.19150891743237,3.890295484358818,0,29.622928208615793,2
54,0,1.73,87.5962115684657,3,802,1.1473672349993458,6.6906415615662,8,1316.6148746568329,22.458607175066767,2.9792495410886177,1,29.26800480085058,2
48,0,1.76,73.72636751256252,2,4558,1.9911106616739707,7.792474914445565,8,2062.251045547741,78.62955897014784,2.4399657815370164,0,23.801125875698126,0
43,0,1.56,84.57935474756466,2,10617,1.4238913685083274,7.019427306931142,4,1737.2903774998272,73.2289486557486,1.3205895027225827,0,34.754830188841495,1
27,1,1.85,66.34662195715276,3,8765,2.012152461993472,4.0,1,1760.931423358857,66.77273913028455,2.9506618211930227,0,19.385426430139592,0
28,1,1.62,56.372392249417,0,7448,1.6762401374348315,7.774187092866536,5,2142.6480924347525,68.15224729445666,3.2244446489564194,0,21.48010678609091,0
21,1,1.66,89.21425406492114,2,904,0.4722119301028912,8.5773895610075,1,1746.9365113263589,64.90391060646245,2.346629629833795,0,32.37561840068266,1
31,1,1.74,86.5629779083045,3,6412,1.7600382439881723,7.5077446112416215,1,1875.4136258297597,74.48883011939385,2.5574384098069585,1,28.591286136974666,2
55,1,1.54,62.74497841108659,2,6178,0.786057471097489,6.478709899340568,6,2248.7416053755805,26.32795638439036,2.9730661110308563,0,26.45681329528023,2
